gene_id	SRR1039508	SRR1039509	SRR1039512	SRR1039513	SRR1039516	SRR1039517	SRR1039520	SRR1039521
ENSG00000005020.15	859.168	802.808	736.484	572.423	650.806	851.994	788.53	921.353
ENSG00000005022.8	1671.967	1339.147	1646.994	914.266	1619.817	1804.369	1166.41	1224.076
ENSG00000005059.18	211.214	198.854	248.174	179.566	190.982	206.232	217.216	236.81
ENSG00000005073.7	1	0	1	0	1	1	0	0
ENSG00000005075.18	723.858	771.064	866.365	435.425	848.777	1146.78	577.749	559.497
ENSG00000005100.14	449.892	463.062	509.202	382.942	555.051	728.65	400.019	661.717
ENSG00000005102.16	1	0	0	0	3	0	0	0
ENSG00000005108.18	8	7.095	4	4.021	7.139	16	12	12
ENSG00000005156.14	279.384	183.249	294.465	101.79	397.702	491.467	228.752	169.922
ENSG00000005175.12	375.999	343.002	265.135	136.999	544.001	509.529	383.482	326.053
ENSG00000005187.14	14.429	16.403	17.493	14.368	18.083	12.618	20.651	16.529
ENSG00000005189.22	84	63.001	92.266	65	92	54	97.184	75.557
ENSG00000005194.17	420.315	427.835	565.53	354.068	541.273	699.617	369.967	441.758
ENSG00000005206.19	723.543	651.85	842.52	466.547	836.824	1131.441	643.475	686.006
ENSG00000005238.22	811.958	629.969	847	401.999	984.443	954.472	597.015	627.121
ENSG00000005243.12	1175.8	937.95	1360.33	772.439	1011.958	1105.071	1048.633	962.402
ENSG00000005249.16	229.974	248.816	294.485	328.782	297.304	400.011	219.072	419.832
ENSG00000005302.20	527	576.165	552.579	352.001	556.719	737.942	441.338	420.91
ENSG00000005339.16	2679.547	1949.146	3171.865	1517.631	3251.006	4016.254	2421.551	2593.545
ENSG00000005379.18	181.054	150.026	120.278	84.393	169.001	309.861	122.636	136
ENSG00000005381.9	4	10	9	1	0	3	7	3
ENSG00000005421.11	2.764	1.25	2.499	1.001	1.01	4.561	4.002	8.248
ENSG00000005436.16	266.376	252.396	327.212	211.493	375.666	508.593	274.606	310.632
ENSG00000005448.19	216.849	196.871	266.854	151.17	215.018	409.819	160.754	246.558
ENSG00000005469.14	529.531	398.129	347.247	189.621	681.609	542.955	561.097	493.18
ENSG00000005471.21	62.895	18.612	57.645	20.633	31.511	18.137	54.005	21.995
ENSG00000005483.24	1881.769	1633.796	1892.097	1206.96	2412.891	2824.567	1701.215	1988.552
ENSG00000005486.19	805.099	662.757	1153.764	600.335	1217.884	1480.083	807.121	719.589
ENSG00000005513.12	10.5	2	6	0	5	3	5	7
ENSG00000005700.17	953.171	813.141	1220.82	803.112	1165.06	1501.98	1041.435	1114.78
ENSG00000005801.20	253.401	222.257	368.978	164.339	392.021	362.872	247.112	199.841
ENSG00000005810.22	3146.842	2433.02	3165.162	1856.079	3521.076	4333.862	2590.558	2700.773
ENSG00000005812.13	1419.983	1425.988	1436.691	1356.565	1178.556	1882.718	1224.504	1751.89
ENSG00000005844.21	6.726	15.19	15.93	12.9	9.012	13.032	14.342	4.593
ENSG00000005882.14	1049.098	936.48	1210.968	673.752	1303.038	1221.399	1037.812	1155.175
ENSG00000005884.20	723.536	666.664	1596.578	1128.382	1339.817	2662.279	1228.696	1487.935
ENSG00000005889.18	711.046	620.672	800.66	485.386	882.683	1145.878	951.203	1054.696
ENSG00000005893.19	6032.268	5275.738	7167.972	4535.996	6488.919	7860.079	5566.046	6119.406
ENSG00000005961.21	6.576	10	10.195	3	7.843	4.232	13	10
ENSG00000005981.15	1.592	1.996	3.023	1	5.353	6.211	9.148	3.002
ENSG00000006007.14	2309.673	2151.647	2988.323	2079.935	3407.279	4255.736	2079.312	2504.959
ENSG00000006015.20	533.221	476.906	425.374	199.805	283.528	381.433	426.775	388.899
ENSG00000006016.14	138.198	101.419	102.009	81.787	84.473	181.8	254.048	269.96
ENSG00000006025.15	228	131.999	278.08	76	185.998	94.005	205	104
ENSG00000006042.14	3057.879	2464.778	3786.164	2135.749	3980.933	4725.814	3019.633	3088.512
ENSG00000006047.15	0	1	1	1	1	0	2.913	0
ENSG00000006059.5	0	0	0	0	0	0	0	0
ENSG00000006062.20	340.432	268.627	355.864	96	368.646	221.75	257.464	144.472
ENSG00000006071.17	5.945	3.365	2.707	4.284	3.055	9.882	6.097	7.795
ENSG00000006116.6	0	0	0	0	0	0	0	0
ENSG00000006118.16	531.001	350.05	603.519	266.291	763.425	630.116	390.713	254.802
ENSG00000006125.20	7234.309	5420.202	7824.477	5141.212	8162.383	9465.254	5629.022	6720.286
ENSG00000006128.14	0	4	1	0	0	0	0	0
ENSG00000006194.13	545.679	425.472	569.172	413.906	659.994	822.237	479.836	470.847
ENSG00000006210.8	5	7.067	2.11	3.988	3.747	16.429	13.264	31
ENSG00000006282.24	1779.113	1342.777	1359.841	728	1649.416	1894.072	1397.718	1351
ENSG00000006283.18	120.001	46	42	5	162.016	78	83.001	25
ENSG00000006327.16	553.995	356.816	701.576	265	740.124	1426.177	627.692	399
ENSG00000006377.11	0	0	0	0	0	0	0	0
ENSG00000006432.18	5.444	5.24	9.381	6.177	16.555	13.725	4.008	5.459
ENSG00000006451.10	1817.325	929.632	1168.404	552.081	1601.82	1177.274	1127.213	815.346
ENSG00000006453.16	217.735	153.827	340.501	167.144	305.791	337.725	220.025	208.311
ENSG00000006459.13	433.874	334.683	341.012	294.674	471.842	377.983	436.078	503.291
ENSG00000006468.17	217.001	96	212.066	119.033	174.001	235.006	317.999	265.023
ENSG00000006530.20	382.892	370.645	384.528	273.86	511.221	506.62	354.089	338.867
ENSG00000006534.19	892.805	1136.955	1427.966	889.358	1582.112	2673.266	546.608	876.889
ENSG00000006555.13	6.43	0	1.815	0	4.001	6.705	0	0
ENSG00000006576.19	938.682	660.935	1564.855	694.199	1355.083	1156.445	1465.49	1031.816
ENSG00000006606.10	3	4	7	1	7	10	2	2
ENSG00000006607.16	715.102	820.002	1038.425	885.433	754.96	1580.142	834.638	1247.522
ENSG00000006611.19	0	0	2.442	0	0	1	2.006	0
ENSG00000006625.20	213.986	194.129	216.767	99.24	285.168	335.989	169.163	134.018
ENSG00000006634.10	111.444	81.553	109.037	58.489	119.853	106.203	99.809	82.823
ENSG00000006638.15	105.216	63.136	144.378	58.65	110.759	73.651	96.616	69.399
ENSG00000006652.16	1032.585	962.839	1172.794	699.621	1847.74	2060.175	1291.9	1273.758
ENSG00000006659.14	1	0	0	0	0	0	0	1
ENSG00000006695.14	198.073	177.542	249.638	144.461	233.191	375.418	154.234	190.669
ENSG00000006704.13	323.588	234.757	363.655	179.259	347.734	296.892	317.576	346.486
ENSG00000006712.17	1002.263	880.2	1520.391	730.829	1602.045	1493.423	1078.331	955.243
ENSG00000006715.18	2143.027	1654.253	2795.299	1642.688	2957.241	3371.882	2282.165	2220.247
ENSG00000006740.20	41.996	27.029	34.931	21.363	45.41	42.832	54.275	59.77
ENSG00000006744.21	954.639	977.11	1107.241	636.061	1131.786	1385.156	721.403	966.566
ENSG00000006747.17	5.172	4.583	6.949	4.817	7.439	15.13	4.037	6.053
ENSG00000006756.18	507.5	409.224	661.736	398.858	687.707	770.681	602.988	749.091
ENSG00000006757.14	124.981	143.915	183.316	89.117	211.203	227.977	148.379	146.939
ENSG00000006788.15	5	36.575	0	1	5	19.003	0	21
ENSG00000006831.12	1092.005	1046.385	1196.39	865.992	1205.735	1627.354	892.035	1109.742
ENSG00000006837.13	52.877	39.448	57.023	45.961	88.025	70.11	58.997	38.44
ENSG00000007001.16	3	2.995	2.134	0	2	0.82	0	1
ENSG00000007038.13	1	0	5	2	0	0	2	3
ENSG00000007047.18	747.202	687.424	842.48	564.454	990.525	1131.661	710.722	814.463
ENSG00000007062.14	9.426	7.932	11.896	8.59	12.857	10.063	11.393	3.184
ENSG00000007080.13	647.317	729.758	727.133	406.623	819.318	1208.436	491.937	603.154
ENSG00000007129.20	0	0	0	0	0	0	0	0
ENSG00000007168.17	3944.914	3647.882	4630.262	2942.993	4698.76	5858.047	3528.434	3947.539
ENSG00000007171.21	3	3	3	1	3	2	6	4
ENSG00000007174.19	4.777	2.598	3.693	0	5.66	1	2.719	1.061
ENSG00000007202.18	6567.914	5252.208	8042.006	4443.351	7709.225	10348.501	5826.131	6022.131
ENSG00000007216.18	0	0	0	0	0	0	0	0
ENSG00000007237.21	413.108	118.906	318.553	44.24	281.346	151.629	1360.641	745.637
ENSG00000007255.12	132.001	147.999	122	119.001	141.474	178.216	117	104.001
ENSG00000007264.17	0	0	0	0	2.034	0	3	0
ENSG00000007306.17	0	0	0	0	0	0	0	0
ENSG00000007312.16	1	2	0	4	5	0	1	2
ENSG00000007314.12	0	1	2	1	1	0	1	0
ENSG00000007341.21	221.944	202.211	268.188	141.65	355.118	468	304.855	350.989
ENSG00000007350.18	0	0	0	0	0	0	0	0
ENSG00000007372.26	18.321	17.999	18.243	1	11.001	18.731	22.761	21.788
ENSG00000007376.10	291.999	283.999	231.999	126.968	322	411.186	225.041	260.003
ENSG00000007384.17	2045.945	1949.764	2045.359	1039.99	1998.141	2593.18	1772.109	2046.184
ENSG00000007392.19	776.919	603.333	824.159	426.122	859.954	837.188	644.297	617.45
ENSG00000007402.14	19	16.996	14	24	12.85	10	13	34.333
ENSG00000007516.17	4.052	9.084	9.077	5.07	13.043	15.141	7.077	11.08
ENSG00000007520.6	635.99	605.854	612.051	336.93	613.942	915.169	511.493	558.022
ENSG00000007541.19	738.344	630.758	704.867	376.664	654.874	1025.803	581.323	748.351
ENSG00000007545.17	634.771	600.573	676.655	405.552	730.13	871.825	592.974	589.903
