gene_id	gene_name	SYMBOL	ENTREZID	baseMean	log2FoldChange	padj
ENSG00000164484.14	TMEM200A	TMEM200A	114801	854.114424379173	-1.15936155095069	2.21096510850617e-18
ENSG00000092621.15	PHGDH	PHGDH	26227	1259.75061679244	-1.42457245192738	2.57191873221971e-18
ENSG00000146592.18	CREB5	CREB5	9586	701.179269276858	-2.19885534275288	3.26571802904779e-18
ENSG00000088756.15	ARHGAP28	ARHGAP28	79822	726.375725436478	-1.66154171711968	3.87426001592531e-18
ENSG00000242265.6	PEG10	PEG10	23089	571.501516797449	-1.00209418471626	1.23408849821571e-17
ENSG00000111728.13	ST8SIA1	ST8SIA1	6489	209.275652348741	-1.55276624143203	1.99254546863575e-17
ENSG00000258947.9	TUBB3	TUBB3	10381	543.142139473684	-1.45753430659195	9.56674504277664e-17
ENSG00000172061.9	LRRC15	LRRC15	131578	235.825220592065	-2.56516295536943	2.55399793503623e-16
ENSG00000164070.14	HSPA4L	HSPA4L	22824	667.912075040587	-1.40024343403057	2.80553903130703e-16
ENSG00000175130.9	MARCKSL1	MARCKSL1	65108	628.691918045465	-1.09875167566936	4.91248708279641e-16
ENSG00000070193.7	FGF10	FGF10	2255	249.425768998788	-1.39745314305251	6.46341333143939e-16
ENSG00000116991.14	SIPA1L2	SIPA1L2	57568	127.288437926313	-2.6869363385681	1.09295281161502e-15
ENSG00000164761.11	TNFRSF11B	TNFRSF11B	4982	7792.2641686652	-1.67532682133979	1.52903215090258e-15
ENSG00000126950.9	TMEM35A	TMEM35A	59353	798.298674648617	-1.67887114233503	3.2769112363497e-15
ENSG00000170989.12	S1PR1	S1PR1	1901	248.76753582154	-1.50300919111159	3.33588283904996e-15
ENSG00000126878.15	AIF1L	AIF1L	83543	89.5596304953919	-2.58981915683769	9.71362747425107e-15
ENSG00000128342.6	LIF	LIF	3976	159.487953746602	-2.57315447280798	1.45176293924398e-14
ENSG00000183496.7	MEX3B	MEX3B	84206	191.402562636333	-1.76268266918134	1.51618612046301e-14
ENSG00000143507.20	DUSP10	DUSP10	11221	345.239514969879	-1.38025918179834	1.54268990962444e-14
ENSG00000140105.20	WARS1	WARS1	7453	2881.63053100153	-1.34657542646289	2.43735527893537e-14
ENSG00000205208.7	C4orf46	C4orf46	201725	597.633189684056	-1.33209527422323	2.66555162288836e-14
ENSG00000108830.13	RND2	RND2	8153	213.12826949198	-2.29619689810324	2.99829170114897e-14
ENSG00000100784.14	RPS6KA5	RPS6KA5	9252	169.139603586778	-1.9644751394949	3.41289976938618e-14
ENSG00000025423.13	HSD17B6	HSD17B6	8630	187.603334091183	-1.99089470506914	3.7272770312163e-14
