ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:2000147	positive regulation of cell motility	34/365	468/12778	0.0726495726495727	2.54333216251024	5.8327828573414	5.5471899050434e-07	0.000143672218540624	0.000111777961996363	COL1A1/ARHGEF2/CXCL12/RHOJ/SEMA3A/AMOT/EPHB2/LRRC15/FGF10/S1PR1/PRKCE/PIK3R3/POSTN/BDKRB1/TNFAIP6/SOX9/HGF/ENPP2/JUN/SMO/SEMA6D/HMOX1/VEGFA/AGT/IL12A/TGFB2/IL34/CCL8/CXCL16/ADRA2A/LGALS9/PTGS2/CCL7/CCL11	34
GO:0045670	regulation of osteoclast differentiation	10/365	49/12778	0.204081632653061	7.14453452613922	7.38945463995059	9.73306827623278e-07	0.000224392372300307	0.000174578789956984	LRRC17/TNFRSF11B/RASSF2/TNFAIP6/EEIG1/GPR68/MAFB/CAMK4/INPP5D/TNFRSF11A	10
GO:0040017	positive regulation of locomotion	34/365	480/12778	0.0708333333333333	2.47974885844749	5.66648691023665	9.9014836095006e-07	0.000224392372300307	0.000174578789956984	COL1A1/ARHGEF2/CXCL12/RHOJ/SEMA3A/AMOT/EPHB2/LRRC15/FGF10/S1PR1/PRKCE/PIK3R3/POSTN/BDKRB1/TNFAIP6/SOX9/HGF/ENPP2/JUN/SMO/SEMA6D/HMOX1/VEGFA/AGT/IL12A/TGFB2/IL34/CCL8/CXCL16/ADRA2A/LGALS9/PTGS2/CCL7/CCL11	34
GO:0048667	cell morphogenesis involved in neuron differentiation	33/365	465/12778	0.0709677419354839	2.48445426425099	5.59157121172644	1.3816041178071e-06	0.00029468803124521	0.00022926929013765	CCKAR/CXCL12/SEMA3A/CRABP2/EPHB2/FLRT3/ADCY1/TUBB3/RND2/RPS6KA5/PLEKHG4/CYFIP2/NEDD4L/FGF13/ROBO1/PAK3/SCN1B/SMO/SEMA6D/EPHB3/VEGFA/KIAA1755/TNIK/SLITRK6/TGFB2/PLPPR4/SPTBN4/NGF/EGR2/ZNF365/FGFR2/EPHA5/LGI1	33
GO:0050767	regulation of neurogenesis	24/365	280/12778	0.0857142857142857	3.00070450097847	5.80449186149672	1.63011284165998e-06	0.000328377175769949	0.000255479673429751	CXCL12/IGDCC4/WNT2/CRABP2/EPHB2/LIF/DUSP10/RND2/FGF13/ROBO1/SMO/SEMA6D/VEGFA/CDON/IL34/SLC7A5/NGF/EGR2/ZNF365/PER2/ELL3/ZNF488/TENM4/CCL11	24
GO:0060688	regulation of morphogenesis of a branching structure	9/365	44/12778	0.204545454545455	7.16077210460772	7.01942537551395	3.35886253492875e-06	0.000622071882268464	0.000483976150166773	WNT2/FGF10/LGR4/SOX9/HGF/SMO/VEGFA/AGT/FGFR2	9
GO:0043410	positive regulation of MAPK cascade	26/365	333/12778	0.0780780780780781	2.73337447036077	5.49590939114273	3.43117419894354e-06	0.000622071882268464	0.000483976150166773	GDF15/SEMA3A/NEK10/FGF10/LIF/PRKCE/P2RX7/RASSF2/ROBO1/HGF/JUN/VEGFA/CDON/TNIK/BMPER/RAMP3/TGFB2/IL34/NRG1/ADRA2A/LGALS9/TMEM106A/NGF/ADORA1/FGFR2/TNFRSF11A	26
GO:0050673	epithelial cell proliferation	26/365	336/12778	0.0773809523809524	2.70896934116112	5.4435386858396	4.04253727300226e-06	0.000698011435805057	0.000543057638679	CXCL12/WNT2/CCN3/FST/ST8SIA1/FGF10/DUSP10/LGR4/ROBO1/CDKN2B/SOX9/HGF/JUN/SMO/HMOX1/VEGFA/IL12A/VASH2/BMPER/TGFB2/GDF5/EGR3/SFRP2/NOX5/FGFR2/CCL11	26
GO:0050808	synapse organization	31/365	446/12778	0.0695067264573991	2.43330671417163	5.28338560441696	4.48794322614288e-06	0.000739694642636095	0.000575487456749423	AMOT/TUBA1A/EPHB2/FLRT3/LRRC15/RPS6KA5/TUBB/CDH6/SLC7A11/CYFIP2/NEDD4L/FGF13/CTTNBP2/LRRTM2/PAK3/DAAM1/EPHB3/CDH10/SLITRK6/DRP2/PLPPR4/PCDHGC5/INSYN1/SPTBN4/RTN4RL2/ZNF365/LRRC4/LRRN1/TENM4/COLQ/LRRN3	31
GO:0051965	positive regulation of synapse assembly	9/365	46/12778	0.195652173913043	6.84943418701608	6.81501728709997	4.96307891351298e-06	0.000782440180017307	0.000608743775204338	EPHB2/FLRT3/LRRC15/LRRTM2/EPHB3/SLITRK6/RTN4RL2/LRRN1/LRRN3	9
