ENTREZID	stat
91624	25.509246991992
7704	25.4262127017106
1843	24.4217333549677
6272	22.5364447026215
25939	21.7544850065341
4502	21.6685801260091
9510	21.6276149884649
12	21.4209978045542
4128	21.388702261431
261729	20.9627156436932
2878	20.6927420077666
783	19.8703162405464
10630	19.7128864954231
8404	19.6983672092627
5187	19.3911997712863
7079	18.8006016707375
8848	17.9300621837455
9414	17.611627895187
5806	17.5477950510071
26112	17.1685021209326
11080	17.0595221741964
84532	16.670396101845
25802	16.6036895252435
55852	16.5731242522752
388610	16.535844600336
121512	16.5050206919474
28999	16.4385721347414
10418	16.148495612729
2051	15.8807316235301
11034	15.8609140886937
4837	15.7958056034761
54532	15.7320283535895
2040	15.7307610111887
83604	15.486047448535
10272	15.3717236045638
3625	14.9151673450422
54206	14.8044189688683
79921	14.3668995735702
26872	14.3134602891657
9424	14.3008967965012
3632	14.237046668887
1052	14.2158098270519
4501	14.0802325972692
104	14.0764463621816
79689	14.0687829766449
25840	13.9035454579178
3908	13.6769436756061
1912	13.6534252845748
10742	13.5918894045898
3306	13.5492894355366
54629	13.4858923727876
5021	13.309834539475
9643	13.302503696803
387496	13.2668908945752
307	13.2389825302974
79960	13.0706988597938
3613	12.9498112056236
1075	12.9493041800057
94274	12.941731225476
85012	12.9311124345923
285203	12.9284618795926
171024	12.8990776354615
83716	12.7267409370321
11170	12.6789426099993
2180	12.6058926067303
23052	12.5607676638697
58472	12.4999846009531
9057	12.4909543429062
23034	12.4073063333932
1282	12.3937356656605
2824	12.2196150029057
10113	12.1509187420898
114897	12.0961729076583
23500	12.0142333104837
4493	11.998373226862
57222	11.8689673924575
2308	11.8522849944827
309	11.8085519623399
3485	11.8050385122244
80223	11.7406094204727
8660	11.7325541409899
687	11.673044493593
25777	11.6237373041068
2687	11.6091771237604
302	11.5832036770539
7048	11.5712427728217
4240	11.5552648150925
84909	11.553233761358
2201	11.4823122393082
8907	11.4129577688423
100507632	11.3536525243544
2744	11.3483447014453
88455	11.3296908289114
91584	11.3145820793674
10157	11.3094610725374
10060	11.2951593210686
85027	11.2769331780692
7225	11.2429431121831
55573	11.2413149014184
10370	11.2359074014384
2745	11.1683061703538
57194	11.1250601619874
9249	11.1166047399929
1301	11.0520242647885
2289	11.0293525356676
4052	10.914724143676
57085	10.8898176112867
8013	10.8602932936363
92999	10.8522955958776
9265	10.8226721835966
10423	10.8221954735067
57104	10.8115486243279
147	10.7515381297184
51313	10.7205816502309
23022	10.7116893076919
1284	10.6831038852106
54776	10.5995990815374
6196	10.5296771085055
79834	10.5241406457639
344558	10.4653802321402
6741	10.4091315570836
8325	10.3986255590135
5894	10.3578758389921
5793	10.3317213183094
6332	10.3106471024331
4154	10.3106108593519
26035	10.3029215054448
9475	10.2996722835642
29995	10.2661608922987
101928819	10.2651746506343
10611	10.2461480110028
18	10.1830483861433
51564	10.1296965120395
5833	10.0647517205497
100526832	10.0168272460537
151230	10.0168272460537
85407	10.0136386295989
23048	9.98232060821184
6009	9.98195687480752
3983	9.91213558220331
203260	9.84273625501245
9709	9.83748646961766
1294	9.8371029219817
7360	9.81594146097089
117248	9.78208009609335
9358	9.76372597724215
54764	9.7457793116422
323	9.70708616134556
11067	9.69229691776347
6867	9.6727836529053
134265	9.62311163062535
54757	9.60961297231358
22836	9.58907172066467
54793	9.5822290953146
727910	9.54818152817551
65997	9.54621795945631
8313	9.53826387087001
105378858	9.52739976113998
9411	9.52739976113998
25994	9.49621310171187
91663	9.4723774982709
7296	9.45520362022333
25852	9.4391163057311
5295	9.43872903829391
54507	9.41846647491195
10602	9.41626878638472
162333	9.3822543995487
467	9.28588981183854
1831	9.27636849398602
10218	9.27471001174689
4883	9.26424374304539
8837	9.20635533641805
54102	9.20385248733434
10241	9.19513670956537
5562	9.1630028959787
8323	9.12555745913939
284654	9.1142270353168
51422	9.07724712077701
4958	9.0634369524025
5810	9.0550513600617
3799	9.02663552495814
11037	9.00010221815039
8884	8.98005915474864
2309	8.96137446846733
4801	8.95681890188261
55450	8.89081426501569
55858	8.89048914672515
2861	8.85795043692103
102724560	8.84016131424713
55313	8.83269368648933
6603	8.82871128656151
