ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0003012	muscle system process	30/419	333/12778	0.0900900900900901	2.74742522952547	5.94912454329749	5.29415728671614e-07	0.00153749593996528	0.00137647513550717	CACNB2/LMOD1/KLF15/ERRFI1/OXTR/FOXO1/ABCC9/NR4A3/ADRA1B/SCN7A/LMCD1/PDLIM5/ABAT/NPR3/CFLAR/FOXO3/ACTA2/STC1/ATP2A2/LEP/FBXO32/GDNF/PPARG/MYOZ2/KCND3/CTTN/MSTN/KCNJ12/MYH13/CTDP1	30
GO:0031589	cell-substrate adhesion	28/419	304/12778	0.0921052631578947	2.80888079387012	5.87724320167648	8.20873432976656e-07	0.00153749593996528	0.00137647513550717	PDPN/FAM107A/GPM6B/PEAK1/ITGBL1/MYADM/PIK3R1/STON1/ITGA10/CCN1/NID1/HACD1/NEDD9/CCN2/CARMIL1/KANK1/LIMS2/APOD/THBS1/EDA/ITGA8/NTN4/SORBS1/RAC3/HPSE/PTK2B/CTTN/PPFIA2	28
GO:0044057	regulation of system process	32/419	388/12778	0.0824742268041237	2.51516866373053	5.58047262664341	1.55205736740813e-06	0.00193800229943695	0.00173503676230256	CACNB2/INHBB/ERRFI1/OXTR/CTSC/C1QTNF1/FOXO1/GLS/ABCC9/NR4A3/ADRA1B/LMCD1/ABAT/NPR3/FOXO3/CORIN/STC1/ATP2A2/LEP/TYMP/FBXO32/GCH1/NEGR1/PPARG/KCND3/PTK2B/CTTN/MSTN/KCNJ12/TMEM100/CTDP1/AGTR1	32
GO:0043500	muscle adaptation	13/419	83/12778	0.156626506024096	4.77654771831958	6.35546692494178	2.76009642086856e-06	0.00219354721592975	0.00196381865005541	KLF15/ERRFI1/FOXO1/NR4A3/LMCD1/CFLAR/FOXO3/ATP2A2/FBXO32/PPARG/MYOZ2/MSTN/CTDP1	13
GO:0014888	striated muscle adaptation	8/419	29/12778	0.275862068965517	8.41280553040902	7.35822965004178	2.92785266408136e-06	0.00219354721592975	0.00196381865005541	KLF15/ERRFI1/FOXO1/CFLAR/ATP2A2/PPARG/MYOZ2/MSTN	8
GO:0001525	angiogenesis	33/419	438/12778	0.0753424657534247	2.29767548304835	5.08833115229741	7.51671447894789e-06	0.00469293540635647	0.00420144777718035	ADAMTS1/COL4A1/TGFBR2/MFGE8/FZD8/NPR3/GLUL/CCN1/ANPEP/KLF5/SAT1/HIF3A/CCN2/RHOB/LEP/DDAH1/APOD/TYMP/THBS1/NR4A1/NRP2/ANG/PPARG/FZD5/RGCC/HPSE/NRXN3/PTK2B/DLL4/FGF1/TMEM100/COL4A3/AGTR1	33
GO:0071385	cellular response to glucocorticoid stimulus	9/419	44/12778	0.204545454545455	6.2379041006726	6.40812907699086	1.02843903966647e-05	0.00481498677904064	0.00431071680052364	ERRFI1/FAM107A/KLF9/AXIN2/CFLAR/FOXO3/STC1/FBXO32/MSTN	9
GO:0008217	regulation of blood pressure	15/419	122/12778	0.122950819672131	3.74955984193435	5.61855518994507	1.05668219130122e-05	0.00481498677904064	0.00431071680052364	KCNK6/OXTR/ABCC9/AGTRAP/ABAT/NPR3/ACTA2/ANPEP/CORIN/LEP/DDAH1/RASL10B/GCH1/PPARG/AGTR1	15
GO:0072593	reactive oxygen species metabolic process	18/419	171/12778	0.105263157894737	3.2101494787087	5.35727103551706	1.28431405752545e-05	0.00481498677904064	0.00431071680052364	GPX3/FOXO1/TGFBR2/ABCC9/CFLAR/FOXO3/LOC102724560/DCXR/CCN1/CCN2/LEP/CBS/THBS1/GCH1/PLCG2/PDK4/MAOB/AGTR1	18
GO:0001503	ossification	28/419	351/12778	0.0797720797720798	2.43276285281059	5.01157823988071	1.32188783950682e-05	0.00481498677904064	0.00431071680052364	ZBTB16/SORT1/FSTL3/CEBPD/TMT1A/GPM6B/IGFBP2/FBN2/DHRS3/AXIN2/LOC102724560/ZHX3/PKDCC/CCN1/STC1/CCN2/LEP/CBS/FAM20C/CRIM1/PPARG/CHRDL1/TWIST2/ENPP1/PTK2B/SLC24A3/RFLNB/CLIC1	28
GO:0030198	extracellular matrix organization	23/419	260/12778	0.0884615384615385	2.69776023499174	5.09243331244024	1.54244103973539e-05	0.00481498677904064	0.00431071680052364	ADAMTS1/PDPN/PTX3/LAMA2/CRISPLD2/COL4A1/GPM6B/COL11A1/AXIN2/ANGPTL7/CFLAR/CCN1/NID1/COL4A4/DPT/SPINT2/ITGA8/MMP15/PPARG/NTN4/ADAMTS5/RGCC/COL4A3	23
GO:0043062	extracellular structure organization	23/419	260/12778	0.0884615384615385	2.69776023499174	5.09243331244024	1.54244103973539e-05	0.00481498677904064	0.00431071680052364	ADAMTS1/PDPN/PTX3/LAMA2/CRISPLD2/COL4A1/GPM6B/COL11A1/AXIN2/ANGPTL7/CFLAR/CCN1/NID1/COL4A4/DPT/SPINT2/ITGA8/MMP15/PPARG/NTN4/ADAMTS5/RGCC/COL4A3	23
GO:0045229	external encapsulating structure organization	23/419	262/12778	0.0877862595419847	2.67716664541165	5.05037792437974	1.74557204313022e-05	0.005029932979666	0.00450315184567844	ADAMTS1/PDPN/PTX3/LAMA2/CRISPLD2/COL4A1/GPM6B/COL11A1/AXIN2/ANGPTL7/CFLAR/CCN1/NID1/COL4A4/DPT/SPINT2/ITGA8/MMP15/PPARG/NTN4/ADAMTS5/RGCC/COL4A3	23
GO:0014896	muscle hypertrophy	11/419	74/12778	0.148648648648649	4.53325162871702	5.61241760061122	2.68770284193658e-05	0.00719152488992458	0.006438361845421	KLF15/ERRFI1/FOXO1/NR4A3/LMCD1/PDLIM5/ATP2A2/LEP/PPARG/MSTN/CTDP1	11
