ENSEMBL	ENTREZID	SYMBOL
ENSG00000196357	147929	ZNF565
ENSG00000162946	27185	DISC1
ENSG00000058091	5218	CDK14
ENSG00000213145	1396	CRIP1
ENSG00000175147	200197	TMEM51-AS1
ENSG00000206567	55831	EMC3
ENSG00000101546	79863	RBFA
ENSG00000169490	83877	TM2D2
ENSG00000286112	883	KYAT1
ENSG00000286112	127739546	KYAT1-SPOUT1
ENSG00000129351	3609	ILF3
ENSG00000156873	5261	PHKG2
ENSG00000185627	5719	PSMD13
ENSG00000197140	203102	ADAM32
ENSG00000232586	103344928	KIAA1614-AS1
ENSG00000164161	64399	HHIP
ENSG00000138769	8999	CDKL2
ENSG00000158571	5207	PFKFB1
ENSG00000171208	81831	NETO2
ENSG00000102981	50855	PARD6A
ENSG00000149532	79869	CPSF7
ENSG00000153406	57407	NMRAL1
ENSG00000160602	284086	NEK8
ENSG00000197291	100190938	RAMP2-AS1
ENSG00000215424	114044	MCM3AP-AS1
ENSG00000292169	29777	ABT1
ENSG00000155093	5799	PTPRN2
ENSG00000206299	6891	TAP2
ENSG00000065970	55810	FOXJ2
ENSG00000101680	284217	LAMA1
ENSG00000168496	2237	FEN1
ENSG00000110092	595	CCND1
ENSG00000133135	79589	RNF128
ENSG00000139351	50511	SYCP3
ENSG00000204130	55680	RUFY2
ENSG00000170100	197320	ZNF778
ENSG00000031003	51306	FAM13B
ENSG00000084072	10450	PPIE
ENSG00000142405	91662	NLRP12
ENSG00000167524	124923	RSKR
ENSG00000233907	440594	LINC01761
ENSG00000120075	3215	HOXB5
ENSG00000108556	1145	CHRNE
ENSG00000129675	9459	ARHGEF6
ENSG00000197183	140688	NOL4L
ENSG00000163380	56203	LMOD3
ENSG00000171700	10287	RGS19
ENSG00000075413	4140	MARK3
ENSG00000089154	10985	GCN1
ENSG00000116985	656	BMP8B
ENSG00000157551	3772	KCNJ15
ENSG00000105072	84167	C19orf44
ENSG00000167920	147184	KRT10-AS1
ENSG00000282019	2821	GPI
ENSG00000239653	100507062	PSMD6-AS2
ENSG00000243811	140564	APOBEC3D
ENSG00000180035	197407	ZNF48
ENSG00000005379	9256	TSPOAP1
ENSG00000031691	55166	CENPQ
ENSG00000062282	84649	DGAT2
ENSG00000101132	5203	PFDN4
ENSG00000128185	85359	DGCR6L
ENSG00000140395	80349	SKIC8
ENSG00000149679	81928	CABLES2
ENSG00000165233	84270	CARD19
ENSG00000169169	126129	CPT1C
ENSG00000175387	4087	SMAD2
ENSG00000204540	170679	PSORS1C1
ENSG00000228253	4509	MT-ATP8
ENSG00000250903	100508120	GMDS-DT
ENSG00000265688	92659	MILIP
ENSG00000310560	286257	PAXX
ENSG00000169155	23099	ZBTB43
ENSG00000148335	28989	NTMT1
ENSG00000169951	92595	ZNF764
ENSG00000267680	7767	ZNF224
ENSG00000286753	101929200	LOC101929200
ENSG00000075218	51512	GTSE1
ENSG00000092148	25831	HECTD1
ENSG00000105926	51678	PALS2
ENSG00000116151	79906	MORN1
ENSG00000129667	79651	RHBDF2
ENSG00000135436	84070	FAM186B
ENSG00000137504	58487	CREBZF
ENSG00000154040	26256	CABYR
ENSG00000156253	10069	RWDD2B
ENSG00000183833	89876	CFAP91
ENSG00000197696	4828	NMB
ENSG00000197728	6231	RPS26
ENSG00000198468	642946	FLVCR1-DT
ENSG00000198755	4736	RPL10A
ENSG00000205423	255919	CNEP1R1
ENSG00000206341	3136	HLA-H
ENSG00000226257	8859	WHR1
ENSG00000227053	102724094	MUC12-AS1
ENSG00000246067	100506233	RAB30-DT
ENSG00000267207	107984992	BCAS3-AS1
ENSG00000274726	9639	ARHGEF10
ENSG00000304884	102724102	LOC102724102
ENSG00000233828	117751736	MIR4280HG
ENSG00000047315	5431	POLR2B
ENSG00000196456	285971	ZNF775
ENSG00000226124	348751	FTCDNL1
ENSG00000235770	646324	LINC00607
ENSG00000167397	79001	VKORC1
ENSG00000167654	85300	ATCAY
ENSG00000205885	283314	C1RL-AS1
ENSG00000247271	729013	ZBED5-AS1
ENSG00000219665	101928464	ZNF433-AS1
ENSG00000292219	56850	GRIPAP1
ENSG00000169621	200558	APLF
ENSG00000197019	29950	SERTAD1
ENSG00000231607	8847	DLEU2
ENSG00000282813	83787	ARMC10
ENSG00000137073	55833	UBAP2
ENSG00000106089	6804	STX1A
ENSG00000144840	285282	RABL3
ENSG00000116898	64960	MRPS15
ENSG00000117480	2166	FAAH
ENSG00000087206	51720	UIMC1
ENSG00000154511	388650	DIPK1A
ENSG00000170293	152189	CMTM8
ENSG00000187994	126432	RINL
ENSG00000229425	101927745	LOC101927745
ENSG00000229425	105369302	LOC105369302
ENSG00000282733	474170	LRRC37A2
ENSG00000251493	2297	FOXD1
ENSG00000083845	6193	RPS5
ENSG00000198346	126017	ZNF813
ENSG00000086589	55696	RBM22
ENSG00000128059	5471	PPAT
ENSG00000197302	124411	KRABD5
ENSG00000122824	170685	NUDT10
ENSG00000126603	84662	GLIS2
ENSG00000153187	3192	HNRNPU
ENSG00000053900	29945	ANAPC4
ENSG00000102359	27286	SRPX2
ENSG00000133030	23164	MPRIP
ENSG00000224905	105377134	LOC105377134
ENSG00000276547	56101	PCDHGB5
ENSG00000040933	3631	INPP4A
ENSG00000134897	54841	BIVM
ENSG00000238198	100996251	LRIG2-DT
ENSG00000263069	100294362	RNF213-AS1
ENSG00000280616	55823	VPS11
ENSG00000151388	81792	ADAMTS12
