PC1	PC2	group	name	sample_id	cell_line	dex	condition
-14.3745227814239	-7.93300091629381	untrt:N61311	SRR1039508	SRR1039508	N61311	untrt	untreated
5.85340763561981	-5.88912236771899	trt:N61311	SRR1039509	SRR1039509	N61311	trt	dexamethasone
-6.77413555905629	-2.45963112606372	untrt:N052611	SRR1039512	SRR1039512	N052611	untrt	untreated
15.3417380499091	-2.174733468739	trt:N052611	SRR1039513	SRR1039513	N052611	trt	dexamethasone
-12.2834400723023	14.7079661686779	untrt:N080611	SRR1039516	SRR1039516	N080611	untrt	untreated
7.55514464410056	17.5106630582517	trt:N080611	SRR1039517	SRR1039517	N080611	trt	dexamethasone
-9.59327974842296	-7.62369913462769	untrt:N061011	SRR1039520	SRR1039520	N061011	untrt	untreated
14.275087831576	-6.13844221348631	trt:N061011	SRR1039521	SRR1039521	N061011	trt	dexamethasone
