	SRR1039508	SRR1039509	SRR1039512	SRR1039513	SRR1039516	SRR1039517	SRR1039520	SRR1039521
SRR1039508	0	40.1876702841644	39.0821541961411	56.3863410779295	42.8429698868801	55.9821531455419	39.0735422151452	55.8824419039061
SRR1039509	40.1876702841644	0	50.4049918272431	43.9657624761359	53.4576320875027	47.5005464332158	51.9779030336157	43.5190045719906
SRR1039512	39.0821541961411	50.4049918272431	0	43.2862571908671	40.6148550413769	51.2874180245216	38.2147279280885	52.764200873834
SRR1039513	56.3863410779295	43.9657624761359	43.2862571908671	0	57.0898250947715	46.5257977831703	54.5337460875371	39.9480106504902
SRR1039516	42.8429698868801	53.4576320875027	40.6148550413769	57.0898250947715	0	40.6568460217544	42.8040657853919	57.1228709140365
SRR1039517	55.9821531455419	47.5005464332158	51.2874180245216	46.5257977831703	40.6568460217544	0	54.5809684477179	46.0752834845042
SRR1039520	39.0735422151452	51.9779030336157	38.2147279280885	54.5337460875371	42.8040657853919	54.5809684477179	0	44.1471072557811
SRR1039521	55.8824419039061	43.5190045719906	52.764200873834	39.9480106504902	57.1228709140365	46.0752834845042	44.1471072557811	0
