gene_id	SRR1039508	SRR1039509	SRR1039512	SRR1039513	SRR1039516	SRR1039517	SRR1039520	SRR1039521
ENSG00000000003.18	731.982366099114	551.803035807543	759.99846553198	651.263019483446	1068.47561132899	834.265923971526	893.490885693975	620.297489149262
ENSG00000000419.16	535.352562373304	659.624149316199	578.133561271198	624.84821017943	553.262438195555	640.350483111401	512.65697179274	619.224466586789
ENSG00000000457.16	328.774410469266	298.565335856879	331.043647616836	382.443121589734	308.207392299545	332.518431891743	354.076099506946	357.592092156386
ENSG00000000460.19	130.93312050211	105.818078512075	93.7824483832753	118.611721802356	142.314893662597	80.7737602299803	170.160174985346	106.273555767542
ENSG00000000971.19	3485.55536061491	4353.11096060716	5161.67978789248	6542.13808708491	5614.21731541948	7964.52990985496	5580.89535085421	8460.91138609459
ENSG00000001036.16	2429.20230847943	1957.01271710022	2374.29338634795	2200.80121982805	1938.74238596125	1644.30402317851	2466.74885585418	1991.67150750458
ENSG00000001084.15	587.555463897559	438.259902284508	564.825458999256	726.386276315141	771.338365304655	548.050252087048	906.237583467648	777.965896768119
ENSG00000001167.17	539.798417574924	388.356532866565	510.565079123901	375.6850366496	723.995909205149	541.82377665556	521.977078381607	381.32775607643
ENSG00000001460.20	182.96826902879	209.596080025122	243.223485167607	198.424564346956	226.600754794571	176.281609535167	187.246205593739	208.43822111044
ENSG00000001461.21	2316.18029611749	2318.35660350644	4691.51264804794	4434.82679277332	2541.02569312383	2169.44569515062	2932.87291165546	3456.92934712062
ENSG00000001497.20	563.7147715804	612.680076809003	560.991590750403	554.850599451876	631.847138301295	580.151252507786	624.578121011755	528.600770791974
ENSG00000001561.9	66.1439922285838	53.6757360622986	192.156136209531	227.511990080211	17.6051956814877	34.1160857017988	140.641681597373	215.710370674373
ENSG00000001617.14	573.885918024355	356.043625118717	871.978120842066	578.339730138857	659.018652053314	577.502309534482	592.652104718323	715.904639625787
ENSG00000001626.20	11.6915286877719	4.44340976203636	9.96863926519415	5.44429623661386	17.3031815525477	3.46700272408191	3.25359244417919	7.32675943112732
ENSG00000001629.12	1534.67592232005	1403.00987307605	2145.7493098061	1593.15411031793	2612.95263289502	1735.20018126954	1995.46452259609	1830.480197619
ENSG00000001630.20	996.15986353112	893.136527352637	970.437925364362	895.193604957113	1159.17508228976	919.29594152868	906.272777998587	857.737740668312
ENSG00000001631.19	710.943444934106	918.086909183051	811.516954754432	731.189899150819	870.29363842564	835.57268641918	846.676323228808	975.77082772814
ENSG00000002016.20	285.177086385495	250.937695804327	231.155318025984	179.28077524676	277.687040816316	209.100027064912	229.814075168275	110.853896693744
ENSG00000002330.16	766.101467140937	745.064438915551	695.135829882156	648.504862056084	659.952692516069	691.26023921584	672.757668357614	718.135274767013
ENSG00000002549.15	1467.70312993645	1456.77633880537	1133.30270616522	1540.13116917197	1247.53586408474	1309.6984515683	946.76449733132	1126.1442215156
ENSG00000002586.22	7129.78457000158	8013.18123729306	8432.66553913091	9291.253940761	10012.4910756439	9539.84138909215	7599.16805138051	8147.5739875571
ENSG00000002745.14	4.08169876431145	6.68406587070628	17.1321194255161	14.9938362645037	1.70011790495515	0.724399988705645	4.2599591211149	3.28982913374224
ENSG00000002746.17	198.554822960589	231.859509549054	102.894889525479	68.207028239346	121.620774773794	111.382229132437	77.0470004691897	119.509246851595
ENSG00000002822.18	406.185168507021	340.64360577799	368.631219211252	297.7873014644	366.192750862811	396.946860373602	326.521254007154	323.576642806696
ENSG00000002834.21	7506.51841682156	8561.59186724888	7614.91536470487	11697.7851568824	6588.01187360672	10079.7517420859	7494.83336087273	9936.100050563
ENSG00000002919.17	262.460382261981	245.616934732898	268.832479275707	365.731260573406	193.131735168154	301.700109126528	209.030512464087	350.923510143454
ENSG00000002933.11	1299.46559864895	1761.80598314925	552.266143759036	676.144859197091	22.6179911738829	16.5615338080731	78.3891228060857	121.717863024847
ENSG00000003056.10	1984.137956373	1766.76691383449	1740.99401656475	1820.66982174512	1770.99388784369	1807.40454731736	1786.91842540393	1644.34810262422
ENSG00000003096.17	610.839135478882	387.710947088657	505.533408161915	277.090898388419	461.627539518569	228.763980727946	598.04289875739	268.062589865795
ENSG00000003137.10	160.103657622794	65.1266073206711	218.340054277972	100.592696403407	24.5440686466251	34.6815519651405	235.228242433214	78.3760720484919
ENSG00000003249.17	86.4389172384866	81.91977508088	185.258450573936	125.547845651988	92.4865324874054	83.8836129030048	176.922719494314	141.824980948702
ENSG00000003393.18	879.769928842778	851.270719232844	772.665089948652	973.749745774994	982.772725441242	1251.56626918128	859.844908199513	935.036074054471
ENSG00000003400.18	107.696528941052	76.5114952271289	110.785871042263	124.361620326193	61.0174386121009	41.4168217111698	104.97080821482	82.6693972874099
ENSG00000003402.23	1972.5664992597	3875.91262629403	1770.32761843222	4717.17343882088	2588.41804646421	4885.08419440958	1864.91092067593	5157.21209655249
ENSG00000003436.18	4585.94591739622	4769.54306663011	5789.83609900588	5052.69102939886	7528.13164169149	4644.91844872723	3960.24300753255	3879.68777897986
ENSG00000003509.18	340.970391202642	338.65942002809	350.275484569297	327.055192124411	418.735191813489	331.514121325374	319.942593456119	339.065143198022
ENSG00000003756.19	3205.44668763248	2824.31908194339	3163.58691058838	2781.94734325572	2947.16787641069	2664.51978651766	2960.8224295725	3038.53679936861
ENSG00000003987.16	40.5848907240064	50.3377320519898	34.8680304888526	88.5233178763783	33.6832168721667	53.8443248647316	27.2467442315138	53.4505440307228
ENSG00000003989.20	50.3288556599626	61.9025228524719	10.9432122978361	6.26005272902805	43.5523894404022	70.7303025754128	19.4001793279348	48.3366069783158
ENSG00000004059.13	1582.4465433588	2148.88208766111	1275.64904918595	1678.96060854258	1498.86323060783	1830.79087247583	1523.23204775687	2037.7791888608
ENSG00000004139.16	293.144452722784	418.880294049343	280.678018646194	263.525494010249	304.274724142709	257.887606018914	322.13986817048	331.317430739063
ENSG00000004142.14	1639.49109992542	1939.62151722695	1439.97136588162	1604.78753079132	1559.47369679832	1782.09613974949	1356.35538525603	1491.79103638194
ENSG00000004399.15	3957.09737709639	4613.43252506976	3330.612649574	3155.50560713771	4732.81905949069	4000.54555266771	2944.04238226525	2573.72253026477
ENSG00000004455.20	1462.6177106894	1377.49124597102	1460.02452007018	1300.35161977275	1433.29545256091	1761.44579746171	1259.83622146393	1059.88022251236
ENSG00000004478.10	614.51677134664	671.651522282382	588.105247177418	602.314647904549	677.768133737908	601.53178688179	586.795358840107	538.719578417067
ENSG00000004487.20	1491.89140701825	1219.17504180137	1389.41579233625	1218.47779910055	1623.4767309278	1273.87274805077	1456.1423720361	1168.96237326622
ENSG00000004534.17	1180.40087533887	1243.61155896751	1593.89302382512	1435.41301556638	1517.23550869818	1238.59013243477	1274.41506402444	1090.79651248555
ENSG00000004660.17	95.0844647348216	65.1028176921073	49.3300568481871	56.2671462203745	74.0944526626109	59.2154172077727	169.375291595707	72.1638612865442
ENSG00000004700.18	1556.62903692608	2018.13880055455	1542.05898888404	1844.56351383901	1140.60197753923	1717.10524249483	1420.58013645091	2046.00451895323
ENSG00000004766.19	570.141290161673	465.575224182896	452.13818012949	581.539507604623	484.335084324281	478.313007229094	519.237327622362	463.024256067239
ENSG00000004776.15	13900.8703393545	14295.1197629778	11803.3414020602	12321.1922683986	9810.19719988815	7464.18807469003	17350.724429912	13572.1816726973
ENSG00000004777.20	199.55619420901	107.254553785025	92.8715509760994	97.4499862329889	44.5951973801031	56.5001410516641	144.352263109846	69.9738820302036
ENSG00000004779.12	328.367851399627	384.779847353162	413.662804957113	395.852258959051	354.19564042854	407.806752241221	320.35833350753	342.900559620663
ENSG00000004799.10	81.3829667606938	942.606713379025	107.944201488275	1703.06032955753	195.425064017357	346.438666718527	692.805951372587	3532.84386062433
ENSG00000004838.16	10.5039879294966	7.29672029333469	13.4331147051984	10.5549886366337	14.7633498278719	9.22321941989824	21.9789971408463	6.63081015011305
ENSG00000004846.17	25.8904968561852	7.12071368686011	66.9691820059001	16.727451006281	10.7357482597724	10.5502333841698	24.6661596921315	12.5470334607747
ENSG00000004864.16	141.270774708179	174.704614177218	118.538440576038	195.555105287147	235.249865340887	226.52217644029	202.593599921971	133.199624843442
ENSG00000004866.24	542.980893894918	431.50075642396	777.067299991821	405.721780783321	502.964020218207	426.729255274736	668.773808345217	375.280925133871
ENSG00000004897.14	1770.45353252737	1328.80242360707	1739.76752932207	1523.27073310032	1802.66882728908	1592.33861534021	2005.16833314956	1752.77254895024
ENSG00000004939.17	5.52141680530824	8.38808328424917	3.07067051405064	8.40599269177516	10.7234386525772	11.8860103569344	6.68962188056974	4.94451041891518
ENSG00000004961.17	451.569912164344	380.622334431086	455.253975430322	443.781252335011	556.920916314586	430.579877559098	396.515910885887	434.515956809876
ENSG00000004975.14	1347.02419413174	1126.81550398102	975.336795739121	746.682311104334	1109.2867212888	727.703458808671	1105.40386750056	964.149630679185
