gene_id	gene_name	gene_type	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000079337.18	RAPGEF3	protein_coding;retained_intron;nonsense_mediated_decay;protein_coding_CDS_not_defined	103.898690480027	-0.352959965546676	0.293079845434497	-1.20431333319221	0.228468495195895	0.480431604916033
ENSG00000116560.13	SFPQ	protein_coding;nonsense_mediated_decay;protein_coding_CDS_not_defined	3605.85729955467	0.111434459922539	0.0925325351291023	1.20427328363008	0.228483969257874	0.480431604916033
ENSG00000135482.9	ZC3H10	protein_coding;protein_coding_CDS_not_defined	230.905116749486	-0.286820611293573	0.23814749789395	-1.20438221618981	0.228441882424064	0.480431604916033
ENSG00000099290.19	WASHC2A	protein_coding;nonsense_mediated_decay;protein_coding_CDS_not_defined	5783.2339697877	0.176271417594822	0.146406921488476	1.20398281585817	0.228596220444617	0.480543105172464
ENSG00000112759.21	SLC29A1	protein_coding;retained_intron;nonsense_mediated_decay	718.216690404103	-0.130390275999518	0.10830354040614	-1.20393364344834	0.228615226994085	0.480543105172464
ENSG00000225953.6	SATB2-AS1	lncRNA	53.6475164358508	-0.370197162444813	0.307470458574916	-1.20400887994452	0.228586146382523	0.480543105172464
ENSG00000302880.1	ENSG00000302880	lncRNA	73.6452445029521	0.346381071096901	0.287724762145268	1.20386256822073	0.228642701600712	0.480546043008431
ENSG00000107758.18	PPP3CB	protein_coding;protein_coding_CDS_not_defined;nonsense_mediated_decay	1613.19749871525	0.124295535175522	0.103256528108599	1.20375474027943	0.228684387704475	0.480578845548872
ENSG00000196724.14	ZNF418	protein_coding;protein_coding_CDS_not_defined;nonsense_mediated_decay	69.8225696137306	-0.444398912846149	0.369209022838752	-1.2036512797799	0.228724390449294	0.48060810344351
ENSG00000109171.17	SLAIN2	protein_coding;nonsense_mediated_decay;protein_coding_CDS_not_defined	1003.29663027219	0.148742714244956	0.123629238458991	1.20313540792614	0.22892392537187	0.480934371954206
ENSG00000114354.17	TFG	protein_coding;retained_intron;nonsense_mediated_decay	2278.03044322241	0.0824614909911218	0.0685411218344534	1.20309514615606	0.228939503499383	0.480934371954206
ENSG00000258405.12	ZNF578	protein_coding	109.640338165142	-0.255297853150562	0.212209295975165	-1.20304745358771	0.228957957735742	0.480934371954206
ENSG00000084731.17	KIF3C	protein_coding;nonsense_mediated_decay;retained_intron;protein_coding_CDS_not_defined	676.355552601446	-0.146635778134417	0.121904725352122	-1.20287197818509	0.229025865575343	0.481022184958107
ENSG00000103335.24	PIEZO1	protein_coding;nonsense_mediated_decay;retained_intron	3686.6666642585	0.094487817003461	0.0785579659782386	1.20277830296211	0.22906212314629	0.481043510580037
ENSG00000171988.21	JMJD1C	protein_coding;protein_coding_CDS_not_defined;retained_intron;nonsense_mediated_decay	1534.95855182224	-0.129290380936426	0.107525505226043	-1.20241593531348	0.229202418242555	0.481283291177508
ENSG00000293586.2	ENSG00000293586	lncRNA	26.948617618534	-0.765247347674866	0.636473621214457	-1.20232374472126	0.229238120721341	0.481303416731556
ENSG00000011451.23	WIZ	protein_coding;retained_intron;nonsense_mediated_decay	1554.47395044305	0.11080132137418	0.0921707209886166	1.20213143811542	0.229312607680186	0.481350123514122
ENSG00000261379.1	ENSG00000261379	lncRNA	11.1027484231103	0.822588711519766	0.684259388645747	1.20215918870736	0.229301857858776	0.481350123514122
ENSG00000292308.1	PRAG1	protein_coding	31.6554449899487	-0.973081121263681	0.809646078064463	-1.20185985905092	0.229417828921098	0.481516144801593
ENSG00000050820.19	BCAR1	protein_coding;nonsense_mediated_decay;retained_intron;protein_coding_CDS_not_defined	1183.83753457862	0.137558084435788	0.114469467826318	1.20170109154785	0.229479358091612	0.481590435134065
ENSG00000224078.16	SNHG14	lncRNA;retained_intron	1442.23072514252	-0.145256991092039	0.12089673207724	-1.20149642257688	0.229558693358708	0.481702072559129
ENSG00000173486.15	FKBP2	protein_coding;retained_intron	493.467529939472	0.145799663076386	0.121442940805789	1.20056103803965	0.229921522258414	0.482408495067523
ENSG00000100591.10	AHSA1	protein_coding;retained_intron;protein_coding_CDS_not_defined;nonsense_mediated_decay	1113.20806775907	0.113908391321362	0.0948921059768151	1.20039902317263	0.229984408071974	0.482485504548081
ENSG00000070770.12	CSNK2A2	protein_coding;retained_intron;protein_coding_CDS_not_defined;nonsense_mediated_decay	1372.08809130981	-0.128238520316585	0.106872060580941	-1.19992558971446	0.230168240613252	0.482743132163229
ENSG00000143179.18	UCK2	protein_coding;protein_coding_CDS_not_defined;retained_intron;nonsense_mediated_decay	819.42116305737	0.18421380422017	0.153518682905107	1.19994388131923	0.230161136107742	0.482743132163229
ENSG00000183742.15	MACC1	protein_coding;protein_coding_CDS_not_defined;retained_intron	15.5875849389232	-0.775106359527543	0.645986357658676	-1.19988038499273	0.230185798910261	0.482743132163229
ENSG00000172469.19	MANEA	protein_coding;protein_coding_CDS_not_defined;nonsense_mediated_decay;retained_intron	496.212279588669	0.143523660451226	0.119647973308599	1.19954944895762	0.230314369207845	0.482820211005655
ENSG00000224587.9	MDC1	protein_coding	23.1567363147914	-1.04579632587744	0.871963980394875	-1.19935725487634	0.230389060997694	0.482820211005655
