Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51
SRR1039513_1 - polya	(1, 0.029554621600980747)	(2, 0.034904412317167934)	(3, 0.04069407471446384)	(4, 0.046917664580961596)	(5, 0.051048891856239474)	(6, 0.054668916907526136)	(7, 0.05825327668737155)	(8, 0.06272926825324815)	(9, 0.06759163359307162)	(10, 0.07302464327595505)	(11, 0.07782756649670976)	(12, 0.0829277003128082)	(13, 0.08658339063553612)	(14, 0.09198667925888517)	(15, 0.09667071824150239)	(16, 0.10099810450970713)	(17, 0.1059318003924131)	(18, 0.11011058136294596)	(19, 0.11447957711449884)	(20, 0.11827198431108486)	(21, 0.122248662076784)	(22, 0.12804426868598678)	(23, 0.1317891221873178)	(24, 0.13561125044343822)	(25, 0.13961170505676485)	(26, 0.14358838282246397)	(27, 0.14730351526426064)	(28, 0.15246903541133472)	(29, 0.15714118597013818)	(30, 0.16178361546940728)	(31, 0.1658554006256164)	(32, 0.1700995679271249)	(33, 0.17494410063122776)	(34, 0.17903371842315752)	(35, 0.18347998892949974)	(36, 0.1874091129999439)	(37, 0.191908881413448)	(38, 0.19605199711253962)	(39, 0.20066470555227436)	(40, 0.20575889515646592)	(41, 0.2109898016345156)	(42, 0.21688645984613528)	(43, 0.2218023230931206)	(44, 0.2256957818921235)	(45, 0.23159838431565002)	(46, 0.23548589890274604)	(47, 0.2400213325876914)	(48, 0.24403367562483178)	(49, 0.2498233380221277)	(50, 0.2555654467241686)	(51, 0.25968478557563274)	(52, 0.2708539597486502)
SRR1039513_2 - polya	(1, 0.03959271217320674)	(2, 0.04626991721465108)	(3, 0.0533023172738441)	(4, 0.061257301794722004)	(5, 0.06627385480513355)	(6, 0.07124197213130665)	(7, 0.0757880070662589)	(8, 0.08151725657332203)	(9, 0.08731569991501152)	(10, 0.09376917822449728)	(11, 0.09954455695464465)	(12, 0.10521614493285246)	(13, 0.11015197180286658)	(14, 0.11691682236817098)	(15, 0.12254458758444876)	(16, 0.1281285300387965)	(17, 0.1339638767589534)	(18, 0.13907499467668766)	(19, 0.14459435621871747)	(20, 0.14903429394057596)	(21, 0.1542169121540908)	(22, 0.16096561749131572)	(23, 0.16550473304280533)	(24, 0.17030217224356672)	(25, 0.17557474244209584)	(26, 0.18013000322166495)	(27, 0.18459069909391135)	(28, 0.19095191895722863)	(29, 0.19637902205308994)	(30, 0.20142325259735203)	(31, 0.20624606287080977)	(32, 0.21138716478354877)	(33, 0.21701031707751814)	(34, 0.22192769225829856)	(35, 0.22734787597069725)	(36, 0.23208765364260334)	(37, 0.23719185217687494)	(38, 0.24203080767841215)	(39, 0.24743023324042293)	(40, 0.25362077497832847)	(41, 0.2593246534126953)	(42, 0.26664766757731906)	(43, 0.2723815300066906)	(44, 0.2772020338189941)	(45, 0.28454349967285153)	(46, 0.2911307527292816)	(47, 0.3119534840295094)	(48, 0.3191727074421936)	(49, 0.32682785201302395)	(50, 0.33389484898953015)	(51, 0.3385100777591088)	(52, 0.34332596864910386)
SRR1039516_1 - polya	(1, 0.023557665362466056)	(2, 0.027627415979430726)	(3, 0.031719145447612125)	(4, 0.03699773288149699)	(5, 0.04036049711765682)	(6, 0.04380385047494466)	(7, 0.04679297424042006)	(8, 0.05067956776391197)	(9, 0.05914508862422282)	(10, 0.06407201443864)	(11, 0.06843481640516108)	(12, 0.07259614556886212)	(13, 0.0763142345663591)	(14, 0.08163677970267742)	(15, 0.0856808883265559)	(16, 0.09018655282598574)	(17, 0.09436619769903407)	(18, 0.0982747700737427)	(19, 0.1018536596802004)	(20, 0.10497831969484563)	(21, 0.10887590264394591)	(22, 0.1129603058283884)	(23, 0.11637069090885115)	(24, 0.11994591737343936)	(25, 0.12308156681369298)	(26, 0.12652858331285027)	(27, 0.1295213702201951)	(28, 0.13391347732167183)	(29, 0.13758760861673536)	(30, 0.1411445193719763)	(31, 0.14477835610647583)	(32, 0.14858436050883972)	(33, 0.15274202653067132)	(34, 0.15658832549359922)	(35, 0.16028443563987946)	(36, 0.16402450348859315)	(37, 0.16776823447917633)	(38, 0.17123722982955034)	(39, 0.17513847592052006)	(40, 0.18029617967271291)	(41, 0.18459670822745328)	(42, 0.18964818086543192)	(43, 0.19406592995999483)	(44, 0.19772174554571106)	(45, 0.2025131351109584)	(46, 0.20592352019142113)	(47, 0.21023137502990039)	(48, 0.21416925253956468)	(49, 0.21868590646460287)	(50, 0.22324651809207455)	(51, 0.22672650286805693)	(52, 0.23034935017694808)
SRR1039516_2 - polya	(1, 0.03141510467244735)	(2, 0.03594641116496337)	(3, 0.041217672315109324)	(4, 0.04741937150009689)	(5, 0.051558721812581206)	(6, 0.05554788330841786)	(7, 0.05908281521244208)	(8, 0.06383024707525595)	(9, 0.06879380430836768)	(10, 0.07443504278732861)	(11, 0.0795231468440018)	(12, 0.0847101557311503)	(13, 0.08887881117859026)	(14, 0.09526366745705057)	(15, 0.10002941502921173)	(16, 0.10530067617935768)	(17, 0.11003345547469373)	(18, 0.1146013933859043)	(19, 0.11907042646663958)	(20, 0.12289840972022022)	(21, 0.12757624188751443)	(22, 0.13263870395110144)	(23, 0.1368586433847138)	(24, 0.14108957224393448)	(25, 0.14502744975359877)	(26, 0.1489030538514823)	(27, 0.15240501747868143)	(28, 0.1574052061304877)	(29, 0.16168009269214187)	(30, 0.16568390675545633)	(31, 0.16973167852120427)	(32, 0.1736658928889991)	(33, 0.1782961042119904)	(34, 0.1825673276317751)	(35, 0.18691181388894892)	(36, 0.19078741798683246)	(37, 0.1949011263062306)	(38, 0.19916868658414585)	(39, 0.20360108824618658)	(40, 0.20929727385318933)	(41, 0.2140776739928283)	(42, 0.2200705740912569)	(43, 0.2251843201410163)	(44, 0.22953246954005957)	(45, 0.23488798295320298)	(46, 0.24811192510193608)	(47, 0.3321517258709761)	(48, 0.3483721180689235)	(49, 0.3565702295727641)	(50, 0.36359613567837906)	(51, 0.3680395267660282)	(52, 0.37236203417198527)
SRR1039516_2 - polyg	(1, 0.026535799702333093)	(2, 0.028473601751274866)	(3, 0.03030517268600244)	(4, 0.03305985537183271)	(5, 0.034840142320387915)	(6, 0.036598450417726386)	(7, 0.03786956064642732)	(8, 0.03959856360881015)	(9, 0.041572997076446475)	(10, 0.04297964355431725)	(11, 0.044023638987111965)	(12, 0.04505298185242886)	(13, 0.046243502960001785)	(14, 0.04731314038588269)	(15, 0.048456040649152696)	(16, 0.04929490013725792)	(17, 0.05022900131396899)	(18, 0.05121072333498297)	(19, 0.05235728674012243)	(20, 0.05338662960543933)	(21, 0.05445260388945077)	(22, 0.05548927303850658)	(23, 0.05656257360625694)	(24, 0.05768715816017967)	(25, 0.058928963253924965)	(26, 0.06037590429235975)	(27, 0.06200600242426729)	(28, 0.06344561717896316)	(29, 0.06512699929704308)	(30, 0.06689629681998992)	(31, 0.06858134207993928)	(32, 0.0701638193675439)	(33, 0.07161442354784814)	(34, 0.07328481624031968)	(35, 0.07488194609540214)	(36, 0.0764204656805733)	(37, 0.07830332060147324)	(38, 0.08005796555694226)	(39, 0.08185290507297528)	(40, 0.08356725546788028)	(41, 0.0853805106932606)	(42, 0.08724138676294381)	(43, 0.08924512536553576)	(44, 0.0911133277189579)	(45, 0.09341378081297573)	(46, 0.09546514025987062)	(47, 0.09758243626041568)	(48, 0.09941400719514326)	(49, 0.10106974732013699)	(50, 0.10333723213732972)	(51, 0.10533730759805224)	(52, 0.10734837248438311)
SRR1039517_1 - polya	(1, 0.02500709948551326)	(2, 0.030045255940097253)	(3, 0.035019269199078905)	(4, 0.04036647923247418)	(5, 0.04348908661838822)	(6, 0.04672540239650641)	(7, 0.049372767015003094)	(8, 0.05334089834294801)	(9, 0.06153081818144711)	(10, 0.06606749147041278)	(11, 0.07028053318156664)	(12, 0.07424574890971146)	(13, 0.07773572187043891)	(14, 0.08296922351163004)	(15, 0.08720559002118475)	(16, 0.09114164975132849)	(17, 0.09518558667407617)	(18, 0.09876011202900672)	(19, 0.10246292377514195)	(20, 0.10556512196245524)	(21, 0.10920670611278822)	(22, 0.11444603895357956)	(23, 0.11784562832050373)	(24, 0.12141140687603394)	(25, 0.12511130302236906)	(26, 0.12846424279249152)	(27, 0.13150521338400256)	(28, 0.13604188667296824)	(29, 0.1397621920179041)	(30, 0.14364868655144605)	(31, 0.1470453603185701)	(32, 0.15090269885411098)	(33, 0.15500203217306066)	(34, 0.1585765575279912)	(35, 0.1627108780445422)	(36, 0.16601133701826273)	(37, 0.16957711557379296)	(38, 0.1732420245225268)	(39, 0.1771955778514712)	(40, 0.18182263473424015)	(41, 0.18586948725678795)	(42, 0.1911088200975793)	(43, 0.1952548030133307)	(44, 0.19868646397805603)	(45, 0.20397827761524928)	(46, 0.2072233401927678)	(47, 0.21085034634410024)	(48, 0.2142965853078261)	(49, 0.2194222097564133)	(50, 0.22476941978980858)	(51, 0.227929929973124)	(52, 0.23146363693085306)
SRR1039517_2 - polya	(1, 0.03224070258957743)	(2, 0.03840719616680263)	(3, 0.044054712979608876)	(4, 0.05034949294803876)	(5, 0.05422432508238027)	(6, 0.05804084522071965)	(7, 0.061463759386044654)	(8, 0.06612871906621502)	(9, 0.07087823114058847)	(10, 0.07643536435959142)	(11, 0.0813335720237703)	(12, 0.08646794327175782)	(13, 0.09048855539610465)	(14, 0.09621479340351377)	(15, 0.10103427987308977)	(16, 0.10575172034966206)	(17, 0.11057703801883827)	(18, 0.11482506692759341)	(19, 0.11941713661276111)	(20, 0.12302081796569272)	(21, 0.12753125085645745)	(22, 0.13361610763927967)	(23, 0.1375055177726217)	(24, 0.14139784350576384)	(25, 0.1457041844105211)	(26, 0.14938075575845539)	(27, 0.15259957793777293)	(28, 0.15763773439235693)	(29, 0.16179537970730876)	(30, 0.16633788419587467)	(31, 0.17032642472242032)	(32, 0.17435578364616747)	(33, 0.178504682161719)	(34, 0.1823357802990589)	(35, 0.18673833599721967)	(36, 0.19023122455774724)	(37, 0.19401567309828546)	(38, 0.19794007042922876)	(39, 0.2025408869137968)	(40, 0.20764027096418303)	(41, 0.21211280105754635)	(42, 0.21799648145416123)	(43, 0.22278972752553627)	(44, 0.22637299967986715)	(45, 0.23267069524809714)	(46, 0.23716655013986132)	(47, 0.24717580425362687)	(48, 0.25199529072320287)	(49, 0.2580888943054254)	(50, 0.2646985590522668)	(51, 0.2682351816097959)	(52, 0.2719584025545319)
SRR1039520_1 - polya	(1, 0.02297906437559739)	(2, 0.02696009680065998)	(3, 0.03140174454763063)	(4, 0.036501414183041384)	(5, 0.04024273863445794)	(6, 0.043800756988380464)	(7, 0.0467571553300149)	(8, 0.050517280406815454)	(9, 0.054531213926300046)	(10, 0.059005762767692704)	(11, 0.06293509347294929)	(12, 0.06659181511013783)	(13, 0.0698067220508023)	(14, 0.07465258324352901)	(15, 0.0786383158249376)	(16, 0.08260524778096219)	(17, 0.08643117504660675)	(18, 0.0901677993416773)	(19, 0.09398432629462987)	(20, 0.09711933057741233)	(21, 0.1010486612826689)	(22, 0.10552791028040756)	(23, 0.10923163348105612)	(24, 0.11286955449286065)	(25, 0.11632416940717116)	(26, 0.11984928666667168)	(27, 0.12323339923579218)	(28, 0.1281168616792869)	(29, 0.13176888316012944)	(30, 0.13534570213943597)	(31, 0.13871571423951845)	(32, 0.14275314854073307)	(33, 0.1471054933171297)	(34, 0.15060710979490022)	(35, 0.1545928423763088)	(36, 0.15831536620234135)	(37, 0.16187338455626388)	(38, 0.16568521135287045)	(39, 0.16977904753023704)	(40, 0.1742018946518237)	(41, 0.1789443524049384)	(42, 0.1844153343916832)	(43, 0.18868307635385184)	(44, 0.19203428782855034)	(45, 0.19637723229225498)	(46, 0.19983654736291148)	(47, 0.20353087025086802)	(48, 0.20717349141901856)	(49, 0.21169504182387122)	(50, 0.21592988269161786)	(51, 0.21944089948208037)	(52, 0.22654753587723342)
SRR1039520_2 - polya	(1, 0.028252639795810167)	(2, 0.03295279614181086)	(3, 0.03845197906663167)	(4, 0.04479719013373261)	(5, 0.04914953491012925)	(6, 0.053506579842871896)	(7, 0.05720090273082844)	(8, 0.0616707514158751)	(9, 0.06662001604821383)	(10, 0.0718700906866966)	(11, 0.07671595187942332)	(12, 0.08123750228427598)	(13, 0.08526083611645258)	(14, 0.09101852764030342)	(15, 0.09547427585631209)	(16, 0.09998172579212675)	(17, 0.10475708463966345)	(18, 0.10944314051662614)	(19, 0.11364038013360477)	(20, 0.11742400599213532)	(21, 0.12212416233813601)	(22, 0.12718153056643275)	(23, 0.13136466971437338)	(24, 0.13536920292116597)	(25, 0.13934553518988255)	(26, 0.14327486589513913)	(27, 0.14696918878309567)	(28, 0.15229446592311446)	(29, 0.1566938122629711)	(30, 0.16056204093572968)	(31, 0.16428456476176223)	(32, 0.16837840093912884)	(33, 0.17329006432069957)	(34, 0.17730869799653015)	(35, 0.18150593761350878)	(36, 0.18546346925684137)	(37, 0.18951030387074796)	(38, 0.1933221306673545)	(39, 0.19762747388029114)	(40, 0.20216312475418183)	(41, 0.20693848360171851)	(42, 0.21294058325556142)	(43, 0.2176924413213681)	(44, 0.22183327906219472)	(45, 0.22685774619606947)	(46, 0.23133229503746214)	(47, 0.24042709756697347)	(48, 0.24519305610181816)	(49, 0.25031152636261295)	(50, 0.25521848958783766)	(51, 0.2591055188859802)	(52, 0.26309595162373484)
SRR1039521_1 - polya	(1, 0.0218538427936815)	(2, 0.026132648951415753)	(3, 0.030526408110402567)	(4, 0.0355885976840802)	(5, 0.03861143586516609)	(6, 0.041842892455932555)	(7, 0.044380373520618736)	(8, 0.047803418446806134)	(9, 0.051413794189849565)	(10, 0.05517744060122974)	(11, 0.05883890656705208)	(12, 0.06221937630759039)	(13, 0.0652933047114552)	(14, 0.07004895294845934)	(15, 0.07392755236109207)	(16, 0.07778486418090026)	(17, 0.08147613277667698)	(18, 0.08500561566698711)	(19, 0.08845846322312888)	(20, 0.09163031455398661)	(21, 0.0951299948143424)	(22, 0.09942157352777137)	(23, 0.10273818048983603)	(24, 0.10594834948777794)	(25, 0.10906911059585675)	(26, 0.1119855108128199)	(27, 0.11487636591839359)	(28, 0.11882308562806489)	(29, 0.12236959859263466)	(30, 0.12566066044330987)	(31, 0.12850894036323446)	(32, 0.13175316950969565)	(33, 0.13564879899658802)	(34, 0.13903778377425616)	(35, 0.14254172155317682)	(36, 0.14585407099667658)	(37, 0.14911958773596232)	(38, 0.15249579995793572)	(39, 0.15597419262546694)	(40, 0.1597761567039313)	(41, 0.16365475611656405)	(42, 0.1685040697619962)	(43, 0.17251890976870604)	(44, 0.1758738343978549)	(45, 0.18033997137244517)	(46, 0.1835160802218678)	(47, 0.1870625931864376)	(48, 0.19049415314975482)	(49, 0.1950965307184222)	(50, 0.19958821280440192)	(51, 0.20316452839892607)	(52, 0.21328890754628135)
SRR1039521_2 - polya	(1, 0.028423193939337173)	(2, 0.03316181210208167)	(3, 0.0383517272327066)	(4, 0.044256905482236354)	(5, 0.04814401993199891)	(6, 0.05187360619485981)	(7, 0.055028427451457904)	(8, 0.05905604001386248)	(9, 0.06343276909858965)	(10, 0.06811603951999033)	(11, 0.07285465768273483)	(12, 0.07699296572782706)	(13, 0.08085879258476507)	(14, 0.08596781486265671)	(15, 0.09040840672585752)	(16, 0.0943891865840481)	(17, 0.09890641378141729)	(18, 0.10283610341682894)	(19, 0.10701698664757028)	(20, 0.11026973083116129)	(21, 0.1142675407636115)	(22, 0.11943616830141188)	(23, 0.12334882786256389)	(24, 0.12686979571574422)	(25, 0.13042482371744382)	(26, 0.13395856412631887)	(27, 0.13735606394111682)	(28, 0.14219260503085424)	(29, 0.1458583285152415)	(30, 0.1494985068882393)	(31, 0.15333027359665802)	(32, 0.15698322452535055)	(33, 0.1610406397177095)	(34, 0.1647744834991353)	(35, 0.16901497198978535)	(36, 0.1728467386982041)	(37, 0.1765805824796299)	(38, 0.1802718510754066)	(39, 0.18414193545090954)	(40, 0.18856549723985072)	(41, 0.1929890590287919)	(42, 0.19840036512479212)	(43, 0.2027770942095193)	(44, 0.20641301506395218)	(45, 0.21162847530596657)	(46, 0.21694185847497388)	(47, 0.2285393390457879)	(48, 0.2344956075180966)	(49, 0.2398217632427986)	(50, 0.24495633063207972)	(51, 0.2484219507439162)	(52, 0.2520195539312649)
