sample_id	num_processed	num_mapped	percent_mapped
SRR1039508	22935521	21885909	95.42364003852364
SRR1039509	21155707	20034914	94.70217185367522
SRR1039512	28136282	27040337	96.10486915079967
SRR1039513	16823088	16241158	96.54088476503243
SRR1039516	27298970	26104535	95.62461514115734
SRR1039517	34298260	32934843	96.02482166733823
SRR1039520	21275888	20430213	96.02519528209586
SRR1039521	23487860	22613712	96.27829866152132
