item	value
genes_in_result_table	20407
padj_0.05	3711
padj_0.05_up	2077
padj_0.05_down	1634
padj_0.05_abs_log2fc_1	988
candidate_padj_0.05_abs_log2fc_1_basemean_100	593
selected_genes_plotted	8
